文,出現順序,全体のコメント,ラベル
"
一度ダメージを受けると全治するのは困難だ。",3,"肘の手術は成功したと言っているが、本当の結果が判るには数カ月先だろう。
今回は脇腹問題だって今後の火種だろう。
一度ダメージを受けると全治するのは困難だ。
今後も二刀流を追求するなら、２４年も（投打ともに）全休にする程の覚悟がいると思う。今後の出場は１２０％以上の絶対的な安心感を確信できなければ控えるべきで、後はないだろう。",
今後も二刀流を追求するなら、２４年も（投打ともに）全休にする程の覚悟がいると思う。,4,"肘の手術は成功したと言っているが、本当の結果が判るには数カ月先だろう。
今回は脇腹問題だって今後の火種だろう。
一度ダメージを受けると全治するのは困難だ。
今後も二刀流を追求するなら、２４年も（投打ともに）全休にする程の覚悟がいると思う。今後の出場は１２０％以上の絶対的な安心感を確信できなければ控えるべきで、後はないだろう。",
今後の出場は１２０％以上の絶対的な安心感を確信できなければ控えるべきで、後はないだろう。,5,"肘の手術は成功したと言っているが、本当の結果が判るには数カ月先だろう。
今回は脇腹問題だって今後の火種だろう。
一度ダメージを受けると全治するのは困難だ。
今後も二刀流を追求するなら、２４年も（投打ともに）全休にする程の覚悟がいると思う。今後の出場は１２０％以上の絶対的な安心感を確信できなければ控えるべきで、後はないだろう。",
とりあえず手術の成功で一安心しました。,1,"とりあえず手術の成功で一安心しました。怪我のこともあり、オフにどこのチームとどういった契約を結んで来シーズンを迎えるのか予測がつきづらいですね。
なんにせよ大谷選手がポストシーズンの舞台に立てるチーム環境でプレイできることを望みます。",
怪我のこともあり、オフにどこのチームとどういった契約を結んで来シーズンを迎えるのか予測がつきづらいですね。,2,"とりあえず手術の成功で一安心しました。怪我のこともあり、オフにどこのチームとどういった契約を結んで来シーズンを迎えるのか予測がつきづらいですね。
なんにせよ大谷選手がポストシーズンの舞台に立てるチーム環境でプレイできることを望みます。",
"
なんにせよ大谷選手がポストシーズンの舞台に立てるチーム環境でプレイできることを望みます。",3,"とりあえず手術の成功で一安心しました。怪我のこともあり、オフにどこのチームとどういった契約を結んで来シーズンを迎えるのか予測がつきづらいですね。
なんにせよ大谷選手がポストシーズンの舞台に立てるチーム環境でプレイできることを望みます。",
"何年も二刀流として、ですか
頼もしいと思う反面、心配でもありますね
来年度は打者オンリーで、再来年から二刀流復帰という計画とあります",1,"何年も二刀流として、ですか
頼もしいと思う反面、心配でもありますね
来年度は打者オンリーで、再来年から二刀流復帰という計画とあります
大谷が試合に出ていないと寂しく思ってしまうようになりました
まずは来年度、打者として試合に出る大谷を応援したいと思います",
"
大谷が試合に出ていないと寂しく思ってしまうようになりました",2,"何年も二刀流として、ですか
頼もしいと思う反面、心配でもありますね
来年度は打者オンリーで、再来年から二刀流復帰という計画とあります
大谷が試合に出ていないと寂しく思ってしまうようになりました
まずは来年度、打者として試合に出る大谷を応援したいと思います",
まずは来年度、打者として試合に出る大谷を応援したいと思います,3,"何年も二刀流として、ですか
頼もしいと思う反面、心配でもありますね
来年度は打者オンリーで、再来年から二刀流復帰という計画とあります
大谷が試合に出ていないと寂しく思ってしまうようになりました
まずは来年度、打者として試合に出る大谷を応援したいと思います",
活躍を祈ってます。,1,"活躍を祈ってます。

おそらく2度目の靭帯再建術（靭帯移植）だと思う。
やればやるほど自分の感覚が失われていく。ナチュラルな逆肘と比べると全く違う感覚だと思う。リハビリも壮絶。その肘で160kmの投球をし、ホームラン争いをし、トップリーグで戦っていくのは本当に大変な事で、普通なら無理。大谷の奇跡を信じます。",
"

",2,"活躍を祈ってます。

おそらく2度目の靭帯再建術（靭帯移植）だと思う。
やればやるほど自分の感覚が失われていく。ナチュラルな逆肘と比べると全く違う感覚だと思う。リハビリも壮絶。その肘で160kmの投球をし、ホームラン争いをし、トップリーグで戦っていくのは本当に大変な事で、普通なら無理。大谷の奇跡を信じます。",
おそらく2度目の靭帯再建術（靭帯移植）だと思う。,3,"活躍を祈ってます。

おそらく2度目の靭帯再建術（靭帯移植）だと思う。
やればやるほど自分の感覚が失われていく。ナチュラルな逆肘と比べると全く違う感覚だと思う。リハビリも壮絶。その肘で160kmの投球をし、ホームラン争いをし、トップリーグで戦っていくのは本当に大変な事で、普通なら無理。大谷の奇跡を信じます。",
"
やればやるほど自分の感覚が失われていく。",4,"活躍を祈ってます。

おそらく2度目の靭帯再建術（靭帯移植）だと思う。
やればやるほど自分の感覚が失われていく。ナチュラルな逆肘と比べると全く違う感覚だと思う。リハビリも壮絶。その肘で160kmの投球をし、ホームラン争いをし、トップリーグで戦っていくのは本当に大変な事で、普通なら無理。大谷の奇跡を信じます。",
ナチュラルな逆肘と比べると全く違う感覚だと思う。,5,"活躍を祈ってます。

おそらく2度目の靭帯再建術（靭帯移植）だと思う。
やればやるほど自分の感覚が失われていく。ナチュラルな逆肘と比べると全く違う感覚だと思う。リハビリも壮絶。その肘で160kmの投球をし、ホームラン争いをし、トップリーグで戦っていくのは本当に大変な事で、普通なら無理。大谷の奇跡を信じます。",
リハビリも壮絶。,6,"活躍を祈ってます。

おそらく2度目の靭帯再建術（靭帯移植）だと思う。
やればやるほど自分の感覚が失われていく。ナチュラルな逆肘と比べると全く違う感覚だと思う。リハビリも壮絶。その肘で160kmの投球をし、ホームラン争いをし、トップリーグで戦っていくのは本当に大変な事で、普通なら無理。大谷の奇跡を信じます。",
その肘で160kmの投球をし、ホームラン争いをし、トップリーグで戦っていくのは本当に大変な事で、普通なら無理。,7,"活躍を祈ってます。

おそらく2度目の靭帯再建術（靭帯移植）だと思う。
やればやるほど自分の感覚が失われていく。ナチュラルな逆肘と比べると全く違う感覚だと思う。リハビリも壮絶。その肘で160kmの投球をし、ホームラン争いをし、トップリーグで戦っていくのは本当に大変な事で、普通なら無理。大谷の奇跡を信じます。",
大谷の奇跡を信じます。,8,"活躍を祈ってます。

おそらく2度目の靭帯再建術（靭帯移植）だと思う。
やればやるほど自分の感覚が失われていく。ナチュラルな逆肘と比べると全く違う感覚だと思う。リハビリも壮絶。その肘で160kmの投球をし、ホームラン争いをし、トップリーグで戦っていくのは本当に大変な事で、普通なら無理。大谷の奇跡を信じます。",
"脇腹を痛めたのは、これ以上無理せず早く手術した方が良い、という意味だったのかも知れない
",1,"脇腹を痛めたのは、これ以上無理せず早く手術した方が良い、という意味だったのかも知れない
とにかく早めに手術できたのは僥倖。これで心配事も減り来季に向けてスケジュールを組めるだろうし
来季の活躍また期待しています",
とにかく早めに手術できたのは僥倖。,2,"脇腹を痛めたのは、これ以上無理せず早く手術した方が良い、という意味だったのかも知れない
とにかく早めに手術できたのは僥倖。これで心配事も減り来季に向けてスケジュールを組めるだろうし
来季の活躍また期待しています",
"これで心配事も減り来季に向けてスケジュールを組めるだろうし
来季の活躍",3,"脇腹を痛めたのは、これ以上無理せず早く手術した方が良い、という意味だったのかも知れない
とにかく早めに手術できたのは僥倖。これで心配事も減り来季に向けてスケジュールを組めるだろうし
来季の活躍また期待しています",
また期待しています,4,"脇腹を痛めたのは、これ以上無理せず早く手術した方が良い、という意味だったのかも知れない
とにかく早めに手術できたのは僥倖。これで心配事も減り来季に向けてスケジュールを組めるだろうし
来季の活躍また期待しています",
二刀流は肘に大きく負担を掛けて数年でまた同じ肘の手術をしなければならないことになる。,1,"二刀流は肘に大きく負担を掛けて数年でまた同じ肘の手術をしなければならないことになる。3回目の今度は直ぐに肘の故障に繋がりやすく、その肘の故障頻度は益々短くなる。もう大谷は他人にすごいすごいと褒められおだてられ調子にのると大変な事態になる。次回は完全に投球どころか、打者としても二刀流を意識し過ぎると選手生命を断たれる事態がおおいに予想される。
目先の記録をつくることよりも、二刀流はもう辞めにしてどちらかに専念すべき時。
特に大谷の場合は速球投手なので、人より早く寿命が来る。打者に専念することがいいような気がします。
これは球団が判断すべきではないでしょうか？",
3回目の今度は直ぐに肘の故障に繋がりやすく、その肘の故障頻度は益々短くなる。,2,"二刀流は肘に大きく負担を掛けて数年でまた同じ肘の手術をしなければならないことになる。3回目の今度は直ぐに肘の故障に繋がりやすく、その肘の故障頻度は益々短くなる。もう大谷は他人にすごいすごいと褒められおだてられ調子にのると大変な事態になる。次回は完全に投球どころか、打者としても二刀流を意識し過ぎると選手生命を断たれる事態がおおいに予想される。
目先の記録をつくることよりも、二刀流はもう辞めにしてどちらかに専念すべき時。
特に大谷の場合は速球投手なので、人より早く寿命が来る。打者に専念することがいいような気がします。
これは球団が判断すべきではないでしょうか？",
もう大谷は他人にすごいすごいと褒められおだてられ調子にのると大変な事態になる。,3,"二刀流は肘に大きく負担を掛けて数年でまた同じ肘の手術をしなければならないことになる。3回目の今度は直ぐに肘の故障に繋がりやすく、その肘の故障頻度は益々短くなる。もう大谷は他人にすごいすごいと褒められおだてられ調子にのると大変な事態になる。次回は完全に投球どころか、打者としても二刀流を意識し過ぎると選手生命を断たれる事態がおおいに予想される。
目先の記録をつくることよりも、二刀流はもう辞めにしてどちらかに専念すべき時。
特に大谷の場合は速球投手なので、人より早く寿命が来る。打者に専念することがいいような気がします。
これは球団が判断すべきではないでしょうか？",
次回は完全に投球どころか、打者としても二刀流を意識し過ぎると選手生命を断たれる事態がおおいに予想される。,4,"二刀流は肘に大きく負担を掛けて数年でまた同じ肘の手術をしなければならないことになる。3回目の今度は直ぐに肘の故障に繋がりやすく、その肘の故障頻度は益々短くなる。もう大谷は他人にすごいすごいと褒められおだてられ調子にのると大変な事態になる。次回は完全に投球どころか、打者としても二刀流を意識し過ぎると選手生命を断たれる事態がおおいに予想される。
目先の記録をつくることよりも、二刀流はもう辞めにしてどちらかに専念すべき時。
特に大谷の場合は速球投手なので、人より早く寿命が来る。打者に専念することがいいような気がします。
これは球団が判断すべきではないでしょうか？",
"
目先の記録をつくることよりも、二刀流はもう辞めにしてどちらかに専念すべき時。",5,"二刀流は肘に大きく負担を掛けて数年でまた同じ肘の手術をしなければならないことになる。3回目の今度は直ぐに肘の故障に繋がりやすく、その肘の故障頻度は益々短くなる。もう大谷は他人にすごいすごいと褒められおだてられ調子にのると大変な事態になる。次回は完全に投球どころか、打者としても二刀流を意識し過ぎると選手生命を断たれる事態がおおいに予想される。
目先の記録をつくることよりも、二刀流はもう辞めにしてどちらかに専念すべき時。
特に大谷の場合は速球投手なので、人より早く寿命が来る。打者に専念することがいいような気がします。
これは球団が判断すべきではないでしょうか？",
特に大谷の場合は速球投手なので、人より早く寿命が来る。,6,"二刀流は肘に大きく負担を掛けて数年でまた同じ肘の手術をしなければならないことになる。3回目の今度は直ぐに肘の故障に繋がりやすく、その肘の故障頻度は益々短くなる。もう大谷は他人にすごいすごいと褒められおだてられ調子にのると大変な事態になる。次回は完全に投球どころか、打者としても二刀流を意識し過ぎると選手生命を断たれる事態がおおいに予想される。
目先の記録をつくることよりも、二刀流はもう辞めにしてどちらかに専念すべき時。
特に大谷の場合は速球投手なので、人より早く寿命が来る。打者に専念することがいいような気がします。
これは球団が判断すべきではないでしょうか？",
打者に専念することがいいような気がします。,7,"二刀流は肘に大きく負担を掛けて数年でまた同じ肘の手術をしなければならないことになる。3回目の今度は直ぐに肘の故障に繋がりやすく、その肘の故障頻度は益々短くなる。もう大谷は他人にすごいすごいと褒められおだてられ調子にのると大変な事態になる。次回は完全に投球どころか、打者としても二刀流を意識し過ぎると選手生命を断たれる事態がおおいに予想される。
目先の記録をつくることよりも、二刀流はもう辞めにしてどちらかに専念すべき時。
特に大谷の場合は速球投手なので、人より早く寿命が来る。打者に専念することがいいような気がします。
これは球団が判断すべきではないでしょうか？",
これは球団が判断すべきではないでしょうか？,8,"二刀流は肘に大きく負担を掛けて数年でまた同じ肘の手術をしなければならないことになる。3回目の今度は直ぐに肘の故障に繋がりやすく、その肘の故障頻度は益々短くなる。もう大谷は他人にすごいすごいと褒められおだてられ調子にのると大変な事態になる。次回は完全に投球どころか、打者としても二刀流を意識し過ぎると選手生命を断たれる事態がおおいに予想される。
目先の記録をつくることよりも、二刀流はもう辞めにしてどちらかに専念すべき時。
特に大谷の場合は速球投手なので、人より早く寿命が来る。打者に専念することがいいような気がします。
これは球団が判断すべきではないでしょうか？",
手術成功おめでとうございます。,1,"手術成功おめでとうございます。
でも、やはり、投手と打者では、パワーがいる打撃筋肉と、しなやかに投げる筋肉と共存という相反する筋肉の作用で、負担がかかっているのでしょうか
できるなら、硬い筋肉のパワーを落とし、しなやかにバットを振るやわらかい筋肉をつけてほしいと思います。",
"
でも、やはり、投手と打者では、パワーがいる打撃筋肉と、しなやかに投げる筋肉と共存という相反する筋肉の作用で、負担がかかっているのでしょうか
できるなら、硬い筋肉のパワーを落とし、しなやかにバットを振るやわらかい筋肉をつけてほしいと思います。",2,"手術成功おめでとうございます。
でも、やはり、投手と打者では、パワーがいる打撃筋肉と、しなやかに投げる筋肉と共存という相反する筋肉の作用で、負担がかかっているのでしょうか
できるなら、硬い筋肉のパワーを落とし、しなやかにバットを振るやわらかい筋肉をつけてほしいと思います。",
やはり早期の手術を…,1,"やはり早期の手術を…医師の説明からするとハイブリッド手術かな。
無理に開幕に間に合わせる必要はないとは思いますが、脇腹含め回復と来季の打者大谷の復帰を楽しみにしています。
投手大谷の復帰は２年後にならないと判らないでしょう、また100マイルを投げられる事を祈ります。",
医師の説明からするとハイブリッド手術かな。,2,"やはり早期の手術を…医師の説明からするとハイブリッド手術かな。
無理に開幕に間に合わせる必要はないとは思いますが、脇腹含め回復と来季の打者大谷の復帰を楽しみにしています。
投手大谷の復帰は２年後にならないと判らないでしょう、また100マイルを投げられる事を祈ります。",
"
無理に開幕に間に合わせる必要はないとは思いますが、脇腹含め回復と来季の打者大谷の復帰を楽しみにしています。",3,"やはり早期の手術を…医師の説明からするとハイブリッド手術かな。
無理に開幕に間に合わせる必要はないとは思いますが、脇腹含め回復と来季の打者大谷の復帰を楽しみにしています。
投手大谷の復帰は２年後にならないと判らないでしょう、また100マイルを投げられる事を祈ります。",
"
投手大谷の復帰は２年後にならないと判らないでしょう、また100マイルを投げられる事を祈ります。",4,"やはり早期の手術を…医師の説明からするとハイブリッド手術かな。
無理に開幕に間に合わせる必要はないとは思いますが、脇腹含め回復と来季の打者大谷の復帰を楽しみにしています。
投手大谷の復帰は２年後にならないと判らないでしょう、また100マイルを投げられる事を祈ります。",
一足早く、今シーズンは本当にお疲れ様でした。,1,"一足早く、今シーズンは本当にお疲れ様でした。
WBCに始まり素晴らしい活躍と成績だったと思います。手術の決断も、投手を諦めていない証拠で再来年の二刀流を楽しみにしています。
来シーズンの事もありますが、今はゆっくり体を休めてください。",
"
WBCに始まり素晴らしい活躍と成績だったと思います。",2,"一足早く、今シーズンは本当にお疲れ様でした。
WBCに始まり素晴らしい活躍と成績だったと思います。手術の決断も、投手を諦めていない証拠で再来年の二刀流を楽しみにしています。
来シーズンの事もありますが、今はゆっくり体を休めてください。",
手術の決断も、投手を諦めていない証拠で再来年の二刀流を楽しみにしています。,3,"一足早く、今シーズンは本当にお疲れ様でした。
WBCに始まり素晴らしい活躍と成績だったと思います。手術の決断も、投手を諦めていない証拠で再来年の二刀流を楽しみにしています。
来シーズンの事もありますが、今はゆっくり体を休めてください。",
"
来シーズンの事もありますが、今はゆっくり体を休めてください。",4,"一足早く、今シーズンは本当にお疲れ様でした。
WBCに始まり素晴らしい活躍と成績だったと思います。手術の決断も、投手を諦めていない証拠で再来年の二刀流を楽しみにしています。
来シーズンの事もありますが、今はゆっくり体を休めてください。",
遠征には帯同を不参加、ロッカーの整理と聞いたので手術だと思っていましたが、早いですね。,1,"遠征には帯同を不参加、ロッカーの整理と聞いたので手術だと思っていましたが、早いですね。
終わっていたとは驚きました。
二刀流復活への成功を祈るだけです。
大谷選手は特を積んで来た選手ですから、復活は間違い無いと思います。",
"
終わっていたとは驚きました。",2,"遠征には帯同を不参加、ロッカーの整理と聞いたので手術だと思っていましたが、早いですね。
終わっていたとは驚きました。
二刀流復活への成功を祈るだけです。
大谷選手は特を積んで来た選手ですから、復活は間違い無いと思います。",
"
二刀流復活への成功を祈るだけです。",3,"遠征には帯同を不参加、ロッカーの整理と聞いたので手術だと思っていましたが、早いですね。
終わっていたとは驚きました。
二刀流復活への成功を祈るだけです。
大谷選手は特を積んで来た選手ですから、復活は間違い無いと思います。",
"
大谷選手は特を積んで来た選手ですから、復活は間違い無いと思います。",4,"遠征には帯同を不参加、ロッカーの整理と聞いたので手術だと思っていましたが、早いですね。
終わっていたとは驚きました。
二刀流復活への成功を祈るだけです。
大谷選手は特を積んで来た選手ですから、復活は間違い無いと思います。",
二刀流で身体に負担をかけてシーズン途中でリタイアするよりもどちらか一つに絞って最後までやりとおす。,1,"二刀流で身体に負担をかけてシーズン途中でリタイアするよりもどちらか一つに絞って最後までやりとおす。

こちらの方が見ているほうも楽しいし前向きな気持ちになれるんじゃないか？

こう思うのは俺だけじゃ無いだろう。二刀流は話題性に富んでいて面白い。だが選手生命も短くなるのかなと思うし、結果的に大した成績を残せないのではないかと思う。

野球素人が口を挟む事ではないかもしれないが選手生命を長くするには一つに絞った方が良さそうだと思う。",
"

こちらの方が見ているほうも楽しいし前向きな気持ちになれるんじゃないか？",2,"二刀流で身体に負担をかけてシーズン途中でリタイアするよりもどちらか一つに絞って最後までやりとおす。

こちらの方が見ているほうも楽しいし前向きな気持ちになれるんじゃないか？

こう思うのは俺だけじゃ無いだろう。二刀流は話題性に富んでいて面白い。だが選手生命も短くなるのかなと思うし、結果的に大した成績を残せないのではないかと思う。

野球素人が口を挟む事ではないかもしれないが選手生命を長くするには一つに絞った方が良さそうだと思う。",
"

こう思うのは俺だけじゃ無いだろう。",3,"二刀流で身体に負担をかけてシーズン途中でリタイアするよりもどちらか一つに絞って最後までやりとおす。

こちらの方が見ているほうも楽しいし前向きな気持ちになれるんじゃないか？

こう思うのは俺だけじゃ無いだろう。二刀流は話題性に富んでいて面白い。だが選手生命も短くなるのかなと思うし、結果的に大した成績を残せないのではないかと思う。

野球素人が口を挟む事ではないかもしれないが選手生命を長くするには一つに絞った方が良さそうだと思う。",
二刀流は話題性に富んでいて面白い。,4,"二刀流で身体に負担をかけてシーズン途中でリタイアするよりもどちらか一つに絞って最後までやりとおす。

こちらの方が見ているほうも楽しいし前向きな気持ちになれるんじゃないか？

こう思うのは俺だけじゃ無いだろう。二刀流は話題性に富んでいて面白い。だが選手生命も短くなるのかなと思うし、結果的に大した成績を残せないのではないかと思う。

野球素人が口を挟む事ではないかもしれないが選手生命を長くするには一つに絞った方が良さそうだと思う。",
だが選手生命も短くなるのかなと思うし、結果的に大した成績を残せないのではないかと思う。,5,"二刀流で身体に負担をかけてシーズン途中でリタイアするよりもどちらか一つに絞って最後までやりとおす。

こちらの方が見ているほうも楽しいし前向きな気持ちになれるんじゃないか？

こう思うのは俺だけじゃ無いだろう。二刀流は話題性に富んでいて面白い。だが選手生命も短くなるのかなと思うし、結果的に大した成績を残せないのではないかと思う。

野球素人が口を挟む事ではないかもしれないが選手生命を長くするには一つに絞った方が良さそうだと思う。",
"

野球素人が口を挟む事ではないかもしれないが選手生命を長くするには一つに絞った方が良さそうだと思う。",6,"二刀流で身体に負担をかけてシーズン途中でリタイアするよりもどちらか一つに絞って最後までやりとおす。

こちらの方が見ているほうも楽しいし前向きな気持ちになれるんじゃないか？

こう思うのは俺だけじゃ無いだろう。二刀流は話題性に富んでいて面白い。だが選手生命も短くなるのかなと思うし、結果的に大した成績を残せないのではないかと思う。

野球素人が口を挟む事ではないかもしれないが選手生命を長くするには一つに絞った方が良さそうだと思う。",
まずは、右肘の手術成功,1,まずは、右肘の手術成功おめでとうございます。来季は打者専念ということで、個人的にはどんな成績を残してくれるのか今からワクワクするばかり。ぜひ50HR超えでタイトルを獲得して欲しい。そして、再来年、満を持しての二刀流復活を楽しみにしています！,
おめでとうございます。,2,まずは、右肘の手術成功おめでとうございます。来季は打者専念ということで、個人的にはどんな成績を残してくれるのか今からワクワクするばかり。ぜひ50HR超えでタイトルを獲得して欲しい。そして、再来年、満を持しての二刀流復活を楽しみにしています！,
来季は打者専念ということで、個人的にはどんな成績を残してくれるのか,3,まずは、右肘の手術成功おめでとうございます。来季は打者専念ということで、個人的にはどんな成績を残してくれるのか今からワクワクするばかり。ぜひ50HR超えでタイトルを獲得して欲しい。そして、再来年、満を持しての二刀流復活を楽しみにしています！,
今からワクワクするばかり。,4,まずは、右肘の手術成功おめでとうございます。来季は打者専念ということで、個人的にはどんな成績を残してくれるのか今からワクワクするばかり。ぜひ50HR超えでタイトルを獲得して欲しい。そして、再来年、満を持しての二刀流復活を楽しみにしています！,
ぜひ50HR超えでタイトルを獲得して欲しい。,5,まずは、右肘の手術成功おめでとうございます。来季は打者専念ということで、個人的にはどんな成績を残してくれるのか今からワクワクするばかり。ぜひ50HR超えでタイトルを獲得して欲しい。そして、再来年、満を持しての二刀流復活を楽しみにしています！,
そして、再来年、満を持しての二刀流復活を楽しみにしています！,6,まずは、右肘の手術成功おめでとうございます。来季は打者専念ということで、個人的にはどんな成績を残してくれるのか今からワクワクするばかり。ぜひ50HR超えでタイトルを獲得して欲しい。そして、再来年、満を持しての二刀流復活を楽しみにしています！,
今年はWBCから全開で、シーズンが始まっても勝星を安定してあげられないチームを鼓舞して投打ともにフル回転。,1,"今年はWBCから全開で、シーズンが始まっても勝星を安定してあげられないチームを鼓舞して投打ともにフル回転。
しかも主力が怪我で離脱する中、多少の無理は承知で出場を続けた。
トレードで主軸も放出した今、先を見据えた決断なんでしょうね。
来年はまずは打撃で、そこで25年にチャンピオン争いができる新しいチームへ移籍してほしいと思います。",
しかも主力が怪我で離脱する中、多少の無理は承知で出場を続けた。,2,"今年はWBCから全開で、シーズンが始まっても勝星を安定してあげられないチームを鼓舞して投打ともにフル回転。
しかも主力が怪我で離脱する中、多少の無理は承知で出場を続けた。
トレードで主軸も放出した今、先を見据えた決断なんでしょうね。
来年はまずは打撃で、そこで25年にチャンピオン争いができる新しいチームへ移籍してほしいと思います。",
"
トレードで主軸も放出した今、先を見据えた決断なんでしょうね。",3,"今年はWBCから全開で、シーズンが始まっても勝星を安定してあげられないチームを鼓舞して投打ともにフル回転。
しかも主力が怪我で離脱する中、多少の無理は承知で出場を続けた。
トレードで主軸も放出した今、先を見据えた決断なんでしょうね。
来年はまずは打撃で、そこで25年にチャンピオン争いができる新しいチームへ移籍してほしいと思います。",
"
来年はまずは打撃で、そこで25年にチャンピオン争いができる新しいチームへ移籍してほしいと思います。",4,"今年はWBCから全開で、シーズンが始まっても勝星を安定してあげられないチームを鼓舞して投打ともにフル回転。
しかも主力が怪我で離脱する中、多少の無理は承知で出場を続けた。
トレードで主軸も放出した今、先を見据えた決断なんでしょうね。
来年はまずは打撃で、そこで25年にチャンピオン争いができる新しいチームへ移籍してほしいと思います。",
現実問題として二刀流は３０代前半までだろうと思う。,1,"現実問題として二刀流は３０代前半までだろうと思う。
そうなると二刀流はあと３～４シーズンしかない。
１度で良いから、最多勝利と最優秀防御率を取って欲しい。
同時にキングも取れたら最高。
二刀流を止めた後の目標は716本。
ベーブ・ルースを完璧に超えて欲しい。
あと560本。年間45本ペースなら12年でいける。",
"
そうなると二刀流はあと３～４シーズンしかない。",2,"現実問題として二刀流は３０代前半までだろうと思う。
そうなると二刀流はあと３～４シーズンしかない。
１度で良いから、最多勝利と最優秀防御率を取って欲しい。
同時にキングも取れたら最高。
二刀流を止めた後の目標は716本。
ベーブ・ルースを完璧に超えて欲しい。
あと560本。年間45本ペースなら12年でいける。",
"
１度で良いから、最多勝利と最優秀防御率を取って欲しい。",3,"現実問題として二刀流は３０代前半までだろうと思う。
そうなると二刀流はあと３～４シーズンしかない。
１度で良いから、最多勝利と最優秀防御率を取って欲しい。
同時にキングも取れたら最高。
二刀流を止めた後の目標は716本。
ベーブ・ルースを完璧に超えて欲しい。
あと560本。年間45本ペースなら12年でいける。",
"
同時にキングも取れたら最高。",4,"現実問題として二刀流は３０代前半までだろうと思う。
そうなると二刀流はあと３～４シーズンしかない。
１度で良いから、最多勝利と最優秀防御率を取って欲しい。
同時にキングも取れたら最高。
二刀流を止めた後の目標は716本。
ベーブ・ルースを完璧に超えて欲しい。
あと560本。年間45本ペースなら12年でいける。",
"
二刀流を止めた後の目標は716本。",5,"現実問題として二刀流は３０代前半までだろうと思う。
そうなると二刀流はあと３～４シーズンしかない。
１度で良いから、最多勝利と最優秀防御率を取って欲しい。
同時にキングも取れたら最高。
二刀流を止めた後の目標は716本。
ベーブ・ルースを完璧に超えて欲しい。
あと560本。年間45本ペースなら12年でいける。",
"
ベーブ・ルースを完璧に超えて欲しい。",6,"現実問題として二刀流は３０代前半までだろうと思う。
そうなると二刀流はあと３～４シーズンしかない。
１度で良いから、最多勝利と最優秀防御率を取って欲しい。
同時にキングも取れたら最高。
二刀流を止めた後の目標は716本。
ベーブ・ルースを完璧に超えて欲しい。
あと560本。年間45本ペースなら12年でいける。",
"
あと560本。",7,"現実問題として二刀流は３０代前半までだろうと思う。
そうなると二刀流はあと３～４シーズンしかない。
１度で良いから、最多勝利と最優秀防御率を取って欲しい。
同時にキングも取れたら最高。
二刀流を止めた後の目標は716本。
ベーブ・ルースを完璧に超えて欲しい。
あと560本。年間45本ペースなら12年でいける。",
年間45本ペースなら12年でいける。,8,"現実問題として二刀流は３０代前半までだろうと思う。
そうなると二刀流はあと３～４シーズンしかない。
１度で良いから、最多勝利と最優秀防御率を取って欲しい。
同時にキングも取れたら最高。
二刀流を止めた後の目標は716本。
ベーブ・ルースを完璧に超えて欲しい。
あと560本。年間45本ペースなら12年でいける。",
手術が必要になってしまったのは残念だけど、大谷さんは前向きに考えてるはず。,1,"手術が必要になってしまったのは残念だけど、大谷さんは前向きに考えてるはず。

来季から打者としては復活できそうだし、
肘の手術も上手く復活できれば、まだ何年かは二刀流の活躍が見れると思うと楽しみ過ぎます！
完全復活目指して頑張ってください！応援します！",
"

来季から打者としては復活できそうだし、
肘の手術も上手く復活できれば、まだ何年かは二刀流の活躍が見れると思うと楽しみ過ぎます！",2,"手術が必要になってしまったのは残念だけど、大谷さんは前向きに考えてるはず。

来季から打者としては復活できそうだし、
肘の手術も上手く復活できれば、まだ何年かは二刀流の活躍が見れると思うと楽しみ過ぎます！
完全復活目指して頑張ってください！応援します！",
完全復活目指して頑張ってください！,3,"手術が必要になってしまったのは残念だけど、大谷さんは前向きに考えてるはず。

来季から打者としては復活できそうだし、
肘の手術も上手く復活できれば、まだ何年かは二刀流の活躍が見れると思うと楽しみ過ぎます！
完全復活目指して頑張ってください！応援します！",
応援します！,4,"手術が必要になってしまったのは残念だけど、大谷さんは前向きに考えてるはず。

来季から打者としては復活できそうだし、
肘の手術も上手く復活できれば、まだ何年かは二刀流の活躍が見れると思うと楽しみ過ぎます！
完全復活目指して頑張ってください！応援します！",
まずは手術成功,1,"まずは手術成功おめでとうございます。
この先何年大谷選手の勇姿を見られるか
分かりませんが、ボロボロになるまで選手
をしないで下さい。二刀流は立派ですし
見るものを興奮させます。ただ二刀流が故に
身体を酷使して今回の様になった事を思う時
野球選手の引き際を大谷選手も我々ファンも
心に留めておかなければと思います。",
おめでとうございます。,2,"まずは手術成功おめでとうございます。
この先何年大谷選手の勇姿を見られるか
分かりませんが、ボロボロになるまで選手
をしないで下さい。二刀流は立派ですし
見るものを興奮させます。ただ二刀流が故に
身体を酷使して今回の様になった事を思う時
野球選手の引き際を大谷選手も我々ファンも
心に留めておかなければと思います。",
"
この先何年大谷選手の勇姿を見られるか
分かりませんが、ボロボロになるまで選手
をしないで下さい。",3,"まずは手術成功おめでとうございます。
この先何年大谷選手の勇姿を見られるか
分かりませんが、ボロボロになるまで選手
をしないで下さい。二刀流は立派ですし
見るものを興奮させます。ただ二刀流が故に
身体を酷使して今回の様になった事を思う時
野球選手の引き際を大谷選手も我々ファンも
心に留めておかなければと思います。",
